type,x,y
L,0.424975,0.373694
L,0.430853,0.378104
L,0.436785,0.382542
L,0.442769,0.387007
L,0.448807,0.391498
L,0.454898,0.396016
L,0.461042,0.40056
L,0.467239,0.40513
L,0.473489,0.409726
L,0.479793,0.414348
L,0.486151,0.418996
L,0.492562,0.423669
L,0.499027,0.428367
L,0.505545,0.433091
L,0.512117,0.437839
L,0.518743,0.442612
L,0.525423,0.447409
L,0.532156,0.452232
L,0.538944,0.457078
L,0.545786,0.461949
L,0.552682,0.466845
L,0.559632,0.471764
L,0.566637,0.476708
L,0.573696,0.481675
L,0.58081,0.486667
L,0.587978,0.491682
L,0.595201,0.496721
L,0.602478,0.501783
L,0.609811,0.506869
L,0.617198,0.511979
L,0.62464,0.517112
L,0.632137,0.522268
L,0.639688,0.527447
L,0.647294,0.532649
L,0.654955,0.537875
L,0.66267,0.543123
L,0.670439,0.548395
L,0.678262,0.55369
L,0.686139,0.559007
L,0.69407,0.564347
L,0.702055,0.569711
L,0.710094,0.575097
L,0.718186,0.580505
L,0.726332,0.585937
L,0.734532,0.591391
L,0.742785,0.596867
L,0.75109,0.602366
L,0.759449,0.607888
L,0.76786,0.613432
L,0.776323,0.618999
L,0.784837,0.624588
L,0.793403,0.630199
L,0.802021,0.635833
L,0.810689,0.64149
L,0.819407,0.647168
L,0.828176,0.652869
L,0.836995,0.658593
L,0.845863,0.664338
L,0.854781,0.670106
L,0.863748,0.675897
L,0.872763,0.681709
L,0.881827,0.687544
L,0.890939,0.6934
L,0.900098,0.699279
L,0.909306,0.705179
L,0.918561,0.7111
L,0.927864,0.717043
L,0.937213,0.723008
L,0.946609,0.728993
L,0.956052,0.735
L,0.965541,0.741028
L,0.975077,0.747076
L,0.984658,0.753145
L,0.994285,0.759234
L,1.00396,0.765344
L,1.01367,0.771474
L,1.02344,0.777624
L,1.03324,0.783795
L,1.0431,0.789985
L,1.05299,0.796196
L,1.06293,0.802427
L,1.07291,0.808678
L,1.08293,0.81495
L,1.09299,0.821242
L,1.1031,0.827554
L,1.11325,0.833887
L,1.12344,0.84024
L,1.13366,0.846614
L,1.14393,0.853008
L,1.15424,0.859423
L,1.16458,0.865858
L,1.17497,0.872313
L,1.18539,0.878789
L,1.19585,0.885286
L,1.20634,0.891802
L,1.21688,0.898337
L,1.22745,0.904893
L,1.23805,0.911467
L,1.2487,0.918061
L,1.25937,0.924673
L,1.27009,0.931304
L,1.28083,0.937953
L,1.29162,0.944621
L,1.30243,0.951306
L,1.31328,0.958009
L,1.32416,0.96473
L,1.33508,0.971468
L,1.34603,0.978223
L,1.35701,0.984995
L,1.36802,0.991785
L,1.37906,0.998592
L,1.39014,1.00542
L,1.40124,1.01226
L,1.41237,1.01912
L,1.42354,1.026
L,1.43473,1.0329
L,1.44595,1.03981
L,1.4572,1.04674
L,1.46848,1.05369
L,1.47978,1.06066
L,1.49111,1.06765
L,1.50247,1.07466
L,1.51385,1.08168
L,1.52526,1.08873
L,1.53669,1.09579
L,1.54815,1.10287
L,1.55964,1.10996
L,1.57115,1.11708
L,1.58268,1.12421
L,1.59423,1.13136
L,1.60581,1.13852
L,1.61742,1.1457
L,1.62904,1.1529
L,1.64069,1.16011
L,1.65236,1.16734
L,1.66405,1.17459
L,1.67577,1.18184
L,1.6875,1.18912
L,1.69926,1.19641
L,1.71103,1.20371
L,1.72283,1.21102
L,1.73464,1.21836
L,1.74647,1.2257
L,1.75832,1.23306
L,1.77019,1.24043
L,1.78207,1.24782
L,1.79397,1.25522
L,1.80588,1.26263
L,1.81781,1.27005
L,1.82975,1.27749
L,1.84171,1.28494
L,1.85368,1.29241
L,1.86566,1.29988
L,1.87765,1.30737
L,1.88966,1.31487
L,1.90167,1.32238
L,1.9137,1.3299
L,1.92573,1.33744
L,1.93778,1.34498
L,1.94983,1.35253
L,1.96189,1.36009
L,1.97396,1.36766
L,1.98603,1.37524
L,1.99811,1.38283
L,2.0102,1.39043
L,2.02229,1.39803
L,2.03439,1.40564
L,2.04649,1.41326
L,2.05859,1.42088
L,2.0707,1.42851
L,2.08281,1.43615
L,2.09492,1.44378
L,2.10703,1.45143
L,2.11914,1.45908
L,2.13125,1.46673
L,2.14336,1.47439
L,2.15547,1.48205
L,2.16757,1.48971
L,2.17968,1.49738
L,2.19177,1.50504
L,2.20386,1.51271
L,2.21595,1.52039
L,2.22803,1.52806
L,2.2401,1.53573
L,2.25216,1.54341
L,2.26422,1.55108
L,2.27627,1.55876
L,2.2883,1.56644
L,2.30033,1.57411
L,2.31234,1.5818
L,2.32435,1.58948
L,2.33634,1.59716
L,2.34832,1.60485
L,2.36029,1.61254
L,2.37224,1.62023
L,2.38418,1.62792
L,2.3961,1.63562
L,2.40801,1.64332
L,2.4199,1.65102
L,2.43178,1.65873
L,2.44363,1.66644
L,2.45548,1.67415
L,2.4673,1.68187
L,2.4791,1.68958
L,2.49089,1.69731
L,2.50266,1.70503
L,2.51441,1.71275
L,2.52614,1.72048
L,2.53785,1.72821
L,2.54954,1.73595
L,2.56121,1.74368
L,2.57285,1.75142
L,2.58448,1.75916
L,2.59609,1.7669
L,2.60767,1.77464
L,2.61924,1.78238
L,2.63078,1.79013
L,2.64229,1.79788
L,2.65379,1.80563
L,2.66526,1.81338
L,2.67671,1.82113
L,2.68814,1.82889
L,2.69955,1.83665
L,2.71093,1.84441
L,2.72229,1.85218
L,2.73362,1.85995
L,2.74493,1.86772
L,2.75622,1.87549
L,2.76748,1.88327
L,2.77872,1.89105
L,2.78994,1.89884
L,2.80113,1.90663
L,2.81229,1.91442
L,2.82344,1.92222
L,2.83455,1.93002
L,2.84565,1.93783
L,2.85672,1.94564
L,2.86776,1.95345
L,2.87878,1.96127
L,2.88978,1.96909
L,2.90076,1.97692
L,2.91171,1.98476
L,2.92263,1.9926
L,2.93353,2.00044
L,2.94441,2.00829
L,2.95526,2.01615
L,2.96609,2.02401
L,2.9769,2.03187
L,2.98768,2.03975
L,2.99843,2.04762
L,3.00917,2.05551
L,3.01988,2.06339
L,3.03056,2.07129
L,3.04122,2.07919
L,3.05186,2.08709
L,3.06247,2.095
L,3.07306,2.10292
L,3.08362,2.11084
L,3.09416,2.11876
L,3.10467,2.12669
L,3.11516,2.13463
L,3.12563,2.14257
L,3.13607,2.15052
L,3.14649,2.15848
L,3.15688,2.16644
L,3.16724,2.17441
L,3.17758,2.18239
L,3.18789,2.19038
L,3.19817,2.19839
L,3.20843,2.2064
L,3.21866,2.21443
L,3.22885,2.22247
L,3.23903,2.23052
L,3.24917,2.23859
L,3.25928,2.24668
L,3.26936,2.25478
L,3.27941,2.2629
L,3.28943,2.27103
L,3.29942,2.27919
L,3.30938,2.28736
L,3.31931,2.29555
L,3.3292,2.30376
L,3.33906,2.31199
L,3.34889,2.32023
L,3.35869,2.3285
L,3.36845,2.33679
L,3.37818,2.34509
L,3.38788,2.35342
L,3.39754,2.36176
L,3.40716,2.37013
L,3.41675,2.37851
L,3.42631,2.38692
L,3.43583,2.39535
L,3.44531,2.4038
