type,x,y
L,7.10914,7.64948
L,7.11994,7.65611
L,7.13074,7.66274
L,7.14153,7.66937
L,7.15231,7.67599
L,7.16309,7.68262
L,7.17385,7.68924
L,7.18461,7.69587
L,7.19535,7.70249
L,7.20609,7.70911
L,7.21681,7.71572
L,7.22753,7.72234
L,7.23823,7.72896
L,7.24892,7.73557
L,7.2596,7.74219
L,7.27027,7.7488
L,7.28094,7.75541
L,7.29158,7.76202
L,7.30222,7.76864
L,7.31285,7.77525
L,7.32347,7.78186
L,7.33407,7.78847
L,7.34467,7.79508
L,7.35525,7.80169
L,7.36582,7.8083
L,7.37639,7.81491
L,7.38693,7.82152
L,7.39747,7.82814
L,7.408,7.83475
L,7.41852,7.84137
L,7.42902,7.84799
L,7.43951,7.85461
L,7.45,7.86124
L,7.46047,7.86787
L,7.47093,7.8745
L,7.48137,7.88114
L,7.49181,7.88778
L,7.50224,7.89442
L,7.51265,7.90108
L,7.52305,7.90773
L,7.53345,7.9144
L,7.54383,7.92106
L,7.5542,7.92774
L,7.56456,7.93441
L,7.57491,7.94109
L,7.58526,7.94778
L,7.59559,7.95447
L,7.60592,7.96116
L,7.61624,7.96785
L,7.62655,7.97455
L,7.63685,7.98125
L,7.64715,7.98796
L,7.65744,7.99466
L,7.66772,8.00137
L,7.678,8.00808
L,7.68827,8.01479
L,7.69853,8.0215
L,7.70879,8.02822
L,7.71905,8.03494
L,7.72929,8.04166
L,7.73953,8.04838
L,7.74977,8.05511
L,7.76,8.06184
L,7.77022,8.06857
L,7.78043,8.0753
L,7.79064,8.08204
L,7.80085,8.08879
L,7.81104,8.09553
L,7.82123,8.10228
L,7.83141,8.10904
L,7.84159,8.1158
L,7.85175,8.12256
L,7.86191,8.12932
L,7.87206,8.13608
L,7.88221,8.14285
L,7.89234,8.14961
L,7.90246,8.15637
L,7.91257,8.16313
L,7.92267,8.16988
L,7.93276,8.17663
L,7.94283,8.18338
L,7.95289,8.19011
L,7.96294,8.19684
L,7.97298,8.20356
L,7.983,8.21028
L,7.99301,8.21698
L,8.003,8.22367
L,8.01297,8.23035
L,8.02293,8.23702
L,8.03287,8.24368
L,8.04279,8.25033
L,8.05269,8.25697
L,8.06258,8.2636
L,8.07244,8.27022
L,8.08229,8.27683
L,8.09211,8.28343
L,8.10192,8.29002
L,8.1117,8.2966
L,8.12146,8.30317
L,8.1312,8.30972
L,8.14091,8.31627
L,8.1506,8.32281
L,8.16027,8.32934
L,8.16991,8.33585
L,8.17953,8.34236
L,8.18912,8.34885
L,8.19869,8.35533
L,8.20823,8.3618
L,8.21775,8.36825
L,8.22725,8.3747
L,8.23671,8.38113
L,8.24616,8.38754
L,8.25558,8.39395
L,8.26497,8.40033
L,8.27433,8.40671
L,8.28368,8.41307
L,8.29299,8.41941
L,8.30228,8.42574
L,8.31154,8.43206
L,8.32078,8.43836
L,8.32999,8.44464
L,8.33918,8.45092
L,8.34835,8.45717
L,8.35749,8.46342
L,8.3666,8.46964
L,8.37569,8.47586
L,8.38476,8.48206
L,8.39381,8.48825
L,8.40283,8.49442
L,8.41183,8.50058
L,8.42081,8.50673
L,8.42977,8.51286
L,8.4387,8.51898
L,8.44762,8.52508
L,8.45651,8.53118
L,8.46538,8.53726
L,8.47423,8.54333
L,8.48306,8.54939
L,8.49188,8.55544
L,8.50067,8.56147
L,8.50944,8.5675
L,8.5182,8.57351
L,8.52693,8.57952
L,8.53565,8.58552
L,8.54435,8.59151
L,8.55303,8.59748
L,8.5617,8.60346
L,8.57034,8.60942
L,8.57898,8.61537
L,8.58759,8.62132
L,8.59619,8.62726
L,8.60478,8.63319
L,8.61334,8.63911
L,8.6219,8.64503
L,8.63044,8.65093
L,8.63896,8.65683
L,8.64747,8.66272
L,8.65597,8.66861
L,8.66445,8.67448
L,8.67292,8.68035
L,8.68138,8.68621
L,8.68983,8.69207
L,8.69826,8.69792
L,8.70669,8.70376
L,8.71509,8.70959
L,8.72349,8.71542
L,8.73188,8.72124
L,8.74024,8.72705
L,8.7486,8.73287
L,8.75694,8.73868
L,8.76527,8.74448
L,8.77358,8.75028
L,8.78188,8.75608
L,8.79016,8.76188
L,8.79843,8.76767
L,8.80668,8.77346
L,8.81491,8.77925
L,8.82313,8.78505
L,8.83133,8.79084
L,8.83951,8.79663
L,8.84767,8.80242
L,8.85582,8.80821
L,8.86395,8.814
L,8.87206,8.81979
L,8.88015,8.82558
L,8.88823,8.83136
L,8.89629,8.83715
L,8.90432,8.84293
L,8.91234,8.84872
L,8.92035,8.8545
L,8.92833,8.86028
L,8.93629,8.86606
L,8.94424,8.87184
L,8.95216,8.87762
L,8.96007,8.88339
L,8.96796,8.88916
L,8.97582,8.89494
L,8.98366,8.90071
L,8.99148,8.90647
L,8.99927,8.91224
L,9.00704,8.918
L,9.01479,8.92376
L,9.02251,8.92952
L,9.0302,8.93527
L,9.03786,8.94103
L,9.0455,8.94677
L,9.0531,8.95252
L,9.06068,8.95827
L,9.06823,8.96401
L,9.07574,8.96974
L,9.08323,8.97548
L,9.09068,8.98121
L,9.0981,8.98693
L,9.10549,8.99265
L,9.11285,8.99837
L,9.12018,9.00409
L,9.12748,9.0098
L,9.13474,9.0155
L,9.14197,9.0212
L,9.14918,9.0269
L,9.15634,9.03259
L,9.16348,9.03827
L,9.17059,9.04395
L,9.17766,9.04963
L,9.1847,9.05529
L,9.19171,9.06096
L,9.19868,9.06661
L,9.20563,9.07226
L,9.21253,9.07791
L,9.21941,9.08354
L,9.22625,9.08917
L,9.23306,9.09479
L,9.23983,9.10041
L,9.24656,9.10602
L,9.25327,9.11161
L,9.25993,9.11721
L,9.26656,9.12279
L,9.27316,9.12836
L,9.27971,9.13393
L,9.28624,9.13948
L,9.29272,9.14503
L,9.29917,9.15057
L,9.30558,9.15609
L,9.31196,9.16161
L,9.31831,9.16712
L,9.32461,9.17262
L,9.33089,9.17812
L,9.33713,9.1836
L,9.34334,9.18907
L,9.34951,9.19454
L,9.35566,9.19999
L,9.36177,9.20544
L,9.36784,9.21088
L,9.37389,9.21631
L,9.37991,9.22173
L,9.38589,9.22714
L,9.39185,9.23254
L,9.39777,9.23793
L,9.40366,9.24332
L,9.40952,9.24869
L,9.41534,9.25406
L,9.42114,9.25941
L,9.4269,9.26476
L,9.43263,9.2701
L,9.43833,9.27543
L,9.44399,9.28075
L,9.44962,9.28606
L,9.45522,9.29136
L,9.46079,9.29666
L,9.46632,9.30194
L,9.47182,9.30721
L,9.47728,9.31248
L,9.48271,9.31773
L,9.48811,9.32298
L,9.49347,9.32822
L,9.4988,9.33345
L,9.5041,9.33867
L,9.50936,9.34387
L,9.5146,9.34907
L,9.5198,9.35426
L,9.52496,9.35944
L,9.5301,9.36462
L,9.5352,9.36978
L,9.54027,9.37493
L,9.54531,9.38007
L,9.55032,9.3852
L,9.5553,9.39033
L,9.56024,9.39544
L,9.56515,9.40054
L,9.57003,9.40564
L,9.57487,9.41072
L,9.57968,9.41579
L,9.58445,9.42086
L,9.58919,9.42591
L,9.59389,9.43096
L,9.59856,9.43599
L,9.60318,9.44102
L,9.60777,9.44603
L,9.61232,9.45104
L,9.61683,9.45603
L,9.6213,9.46102
L,9.62574,9.46599
L,9.63013,9.47096
L,9.63448,9.47591
L,9.63879,9.48086
L,9.64306,9.48579
L,9.64729,9.49071
L,9.65148,9.49561
L,9.65563,9.50051
L,9.65974,9.50539
L,9.66381,9.51025
L,9.66784,9.5151
L,9.67183,9.51994
L,9.67578,9.52476
L,9.67969,9.52957
L,9.68356,9.53436
L,9.68739,9.53913
L,9.69117,9.54389
L,9.69492,9.54863
L,9.69863,9.55335
L,9.70229,9.55806
L,9.70591,9.56275
L,9.70949,9.56742
L,9.71303,9.57207
L,9.71653,9.5767
L,9.71998,9.58131
L,9.72339,9.58591
L,9.72675,9.59048
L,9.73008,9.59504
L,9.73335,9.59958
L,9.73659,9.60409
L,9.73978,9.60859
L,9.74292,9.61306
L,9.74603,9.61751
L,9.74908,9.62194
L,9.7521,9.62635
L,9.75507,9.63073
L,9.75799,9.63509
L,9.76087,9.63943
L,9.76371,9.64374
L,9.76651,9.64803
L,9.76926,9.65229
L,9.77197,9.65653
L,9.77464,9.66073
L,9.77726,9.66491
L,9.77985,9.66907
L,9.78238,9.67319
L,9.78488,9.67728
L,9.78734,9.68135
L,9.78975,9.68538
L,9.79213,9.68939
L,9.79446,9.69336
L,9.79675,9.69731
L,9.799,9.70122
L,9.8012,9.7051
L,9.80337,9.70895
L,9.8055,9.71277
L,9.80758,9.71655
L,9.80963,9.72031
L,9.81163,9.72403
L,9.8136,9.72771
L,9.81552,9.73137
L,9.8174,9.73499
L,9.81925,9.73857
L,9.82105,9.74213
L,9.82282,9.74564
L,9.82455,9.74912
L,9.82623,9.75256
L,9.82789,9.75597
L,9.8295,9.75933
L,9.83107,9.76266
L,9.83261,9.76594
L,9.83411,9.76919
L,9.83558,9.77239
L,9.83701,9.77556
L,9.8384,9.77868
L,9.83976,9.78175
L,9.84108,9.78479
L,9.84237,9.78778
L,9.84362,9.79072
L,9.84484,9.79362
L,9.84603,9.79647
L,9.84718,9.79927
L,9.8483,9.80203
L,9.84938,9.80474
L,9.85044,9.80741
L,9.85146,9.81002
L,9.85244,9.81258
L,9.8534,9.8151
L,9.85433,9.81757
L,9.85522,9.81998
L,9.85609,9.82235
L,9.85692,9.82466
L,9.85773,9.82692
L,9.8585,9.82913
L,9.85925,9.83128
L,9.85996,9.83338
L,9.86065,9.83543
L,9.86131,9.83743
L,9.86195,9.83936
L,9.86255,9.84125
L,9.86313,9.84307
L,9.86369,9.84485
L,9.86422,9.84656
L,9.86472,9.84822
L,9.86521,9.84982
L,9.86566,9.85136
L,9.8661,9.85284
L,9.86651,9.85426
L,9.8669,9.85563
L,9.86726,9.85693
L,9.86761,9.85818
L,9.86793,9.85936
L,9.86824,9.86049
L,9.86852,9.86155
L,9.86878,9.86255
L,9.86903,9.86349
L,9.86926,9.86438
L,9.86946,9.8652
L,9.86966,9.86595
L,9.86983,9.86665
L,9.86999,9.86729
L,9.87013,9.86786
L,9.87025,9.86837
L,9.87036,9.86882
L,9.87046,9.86921
L,9.87054,9.86955
L,9.87061,9.86984
L,9.87067,9.87008
L,9.87072,9.87028
L,9.87076,9.87044
L,9.87079,9.87057
L,9.87081,9.87067
L,9.87083,9.87074
L,9.87084,9.87079
L,9.87085,9.87082
L,9.87086,9.87084
L,9.87086,9.87084
L,9.87086,9.87085
O,6,6
O,3,3
